Date,Orders,Net_Revenue,Gross_Revenue,Share
2024-01-01,18,933.26,1024.49,0.17
2024-01-03,21,824.37,974.2,0.15
2024-01-04,25,919.49,1066.3,0.17
2024-01-05,23,1190.55,1407.2,0.22
2024-01-06,25,1369.99,1616.2,0.26
2024-01-07,38,1668.41,1964.4,0.31
2024-01-08,27,1158.45,1357.3,0.22
2024-01-10,19,763.48,887.3,0.14
2024-01-11,16,679.88,805.7,0.13
2024-01-12,33,1311.93,1522.6,0.24
2024-01-13,34,2136.43,2488.4,0.4
2024-01-14,34,1755.49,2062.2,0.33
2024-01-15,21,682.13,799.3,0.13
2024-01-17,19,693.3,798.8,0.13
2024-01-18,23,981.78,1139.9,0.18
2024-01-19,33,1407.3,1636.2,0.26
2024-01-20,31,1745.85,2053.8,0.33
2024-01-21,35,1782.54,2077.4,0.33
2024-01-22,23,847.37,1000.1,0.16
2024-01-24,24,821.96,962.4,0.15
2024-01-25,22,749.45,882.6,0.14
2024-01-26,30,1441.34,1690.9,0.27
2024-01-27,45,2693.33,3177.6,0.5
2024-01-28,34,1778.41,2072.9,0.33
2024-01-29,31,1292.99,1526.7,0.24
2024-01-31,29,995.35,1180.3,0.19
2024-02-01,29,1142.89,1319.9,0.21
2024-02-02,35,1888.34,2190.1,0.35
2024-02-03,40,3379.1,3997.9,0.63
2024-02-04,42,1905.49,2242.8,0.35
2024-02-05,24,942.32,1106.7,0.18
2024-02-07,20,712.54,834.1,0.13
2024-02-08,24,932.0,1092.5,0.17
2024-02-09,40,1793.29,2120.6,0.33
2024-02-10,44,2329.15,2749.4,0.43
2024-02-11,45,2196.86,2580.8,0.41
2024-02-12,44,1635.05,1929.4,0.3
2024-02-14,53,2129.96,2506.8,0.4
2024-02-15,29,1452.38,1711.19,0.27
2024-02-16,41,1564.31,1841.1,0.29
2024-02-17,34,1545.51,1795.6,0.29
2024-02-18,40,1805.19,2114.1,0.34
2024-02-19,27,1200.64,1405.1,0.22
2024-02-21,23,1003.65,1168.4,0.19
2024-02-22,29,1327.69,1552.6,0.25
2024-02-23,45,1853.92,2172.69,0.35
2024-02-24,37,2482.16,2934.9,0.46
2024-02-25,45,1948.01,2252.9,0.36
2024-02-26,29,1130.04,1337.2,0.21
2024-02-28,27,956.77,1109.7,0.18
2024-02-29,21,792.27,934.6,0.15
2024-03-01,41,1752.01,2043.4,0.33
2024-03-02,40,1957.95,2295.7,0.36
2024-03-03,52,2305.64,2695.4,0.43
2024-03-04,32,1167.51,1376.6,0.22
2024-03-06,33,1482.33,1752.0,0.28
2024-03-07,40,1504.44,1759.5,0.28
2024-03-08,46,2035.77,2397.2,0.38
2024-03-09,52,2333.86,2738.2,0.43
2024-03-10,45,2165.63,2542.0,0.4
2024-03-11,35,1233.27,1455.1,0.23
2024-03-13,27,920.26,1083.5,0.17
2024-03-14,26,861.33,1006.2,0.16
2024-03-15,39,1614.07,1901.0,0.3
2024-03-16,54,2633.6,3086.1,0.49
2024-03-17,43,1416.1,1642.5,0.26
2024-03-18,31,1151.28,1341.1,0.21
2024-03-20,14,557.89,646.5,0.1
2024-03-21,31,1193.71,1398.8,0.22
2024-03-22,40,2003.58,2357.0,0.37
2024-03-23,42,2615.99,3086.0,0.49
2024-03-24,44,1765.9,2049.4,0.33
2024-03-25,37,1532.76,1807.1,0.29
2024-03-27,38,1759.52,2057.7,0.33
2024-03-28,31,1525.29,1797.6,0.28
2024-03-29,36,2427.13,2875.8,0.45
2024-03-30,19,983.77,1162.3,0.18
2024-03-31,58,3395.21,3978.5,0.63
2024-04-01,41,2200.33,2594.9,0.41
2024-04-03,28,1054.28,1250.0,0.2
2024-04-04,28,1321.45,1554.6,0.25
2024-04-05,43,1557.26,1832.7,0.29
2024-04-06,55,2775.35,3296.6,0.52
2024-04-07,51,2838.88,3345.69,0.53
2024-04-08,37,1412.86,1664.5,0.26
2024-04-10,44,1664.88,1967.8,0.31
2024-04-11,36,1389.14,1619.4,0.26
2024-04-12,47,2261.48,2666.09,0.42
2024-04-13,53,2914.94,3451.1,0.54
2024-04-14,37,2861.33,3363.5,0.53
2024-04-15,24,889.17,1035.8,0.17
2024-04-17,22,1036.42,1232.29,0.19
2024-04-18,31,1953.11,2293.2,0.36
2024-04-19,46,2130.06,2482.7,0.4
2024-04-20,48,2390.93,2806.7,0.45
2024-04-21,42,2215.66,2600.4,0.41
2024-04-22,29,1243.4,1470.0,0.23
2024-04-24,38,1560.23,1840.0,0.29
2024-04-25,32,1267.45,1500.6,0.24
2024-04-26,41,1983.5,2357.6,0.37
2024-04-27,29,2008.81,2388.3,0.37
2024-04-28,47,2531.78,3010.59,0.47
2024-04-29,31,1331.46,1582.9,0.25
2024-05-01,62,2713.94,3229.6,0.51
2024-05-02,37,1471.48,1750.7,0.27
2024-05-03,46,2976.65,3431.3,0.55
2024-05-04,40,1634.28,1944.8,0.3
2024-05-05,38,2218.65,2640.2,0.41
2024-05-06,38,1381.17,1643.2,0.26
2024-05-08,58,2322.4,2750.7,0.43
2024-05-09,66,3903.62,4620.6,0.73
2024-05-10,40,1733.63,2051.3,0.32
2024-05-11,34,1726.67,2046.7,0.32
2024-05-12,64,2996.14,3489.2,0.56
2024-05-13,24,861.92,1022.8,0.16
2024-05-15,34,1933.17,2289.6,0.36
2024-05-16,29,1154.27,1352.0,0.21
2024-05-17,61,2323.18,2751.5,0.43
2024-05-18,53,2545.49,3008.8,0.47
2024-05-19,45,2596.45,3067.2,0.48
2024-05-20,49,2509.21,2922.9,0.47
2024-05-22,26,1329.89,1575.0,0.25
2024-05-23,40,1673.99,1968.6,0.31
2024-05-24,40,2107.1,2481.5,0.39
2024-05-25,57,3272.08,3867.2,0.61
2024-05-26,69,3224.57,3790.8,0.6
2024-05-27,32,1734.6,2046.6,0.32
2024-05-29,27,898.54,1062.5,0.17
2024-05-30,35,1706.44,1964.7,0.32
2024-05-31,54,2763.74,3269.3,0.51
2024-06-01,61,2402.29,2799.3,0.45
2024-06-02,44,2944.49,3451.8,0.55
2024-06-03,35,1415.45,1667.8,0.26
2024-06-05,34,1253.13,1477.9,0.23
2024-06-06,26,993.95,1173.3,0.19
2024-06-07,41,1622.91,1904.0,0.3
2024-06-08,39,2598.41,3061.3,0.48
2024-06-09,47,2044.2,2389.7,0.38
2024-06-10,30,1464.4,1734.1,0.27
2024-06-12,31,1438.23,1709.5,0.27
2024-06-13,32,1473.85,1726.4,0.27
2024-06-14,52,2208.78,2580.6,0.41
2024-06-15,49,2352.5,2757.3,0.44
2024-06-16,49,2597.95,3053.2,0.48
2024-06-17,25,1111.48,1273.9,0.21
2024-06-19,31,1611.18,1910.6,0.3
2024-06-20,20,792.28,934.9,0.15
2024-06-21,44,2163.19,2562.7,0.4
2024-06-22,30,1265.66,1496.1,0.24
2024-06-23,58,2692.12,3150.2,0.5
2024-06-24,37,1588.8,1864.4,0.3
2024-06-26,29,1137.62,1339.9,0.21
2024-06-27,36,1039.95,1213.7,0.19
2024-06-28,61,2636.27,3097.12,0.49
2024-06-29,34,1887.03,2210.3,0.35
2024-06-30,65,3573.63,4184.74,0.67
2024-07-01,20,727.57,856.7,0.14
2024-07-03,29,1314.14,1544.1,0.24
2024-07-04,36,1563.1,1848.3,0.29
2024-07-05,24,1052.17,1223.2,0.2
2024-07-06,37,1985.58,2333.9,0.37
2024-07-07,77,3614.31,4254.2,0.67
2024-07-08,45,2083.15,2466.6,0.39
2024-07-10,25,1140.41,1347.4,0.21
2024-07-11,46,1663.53,1950.2,0.31
2024-07-12,35,1582.75,1848.42,0.29
2024-07-13,58,3101.75,3668.3,0.58
2024-07-14,59,2746.08,3237.3,0.51
2024-07-15,50,2153.27,2535.8,0.4
2024-07-17,45,2329.23,2703.0,0.43
2024-07-18,45,2378.64,2787.6,0.44
2024-07-19,64,3172.58,3734.6,0.59
2024-07-20,40,1907.68,2235.2,0.36
2024-07-21,64,2579.22,3002.2,0.48
2024-07-22,30,1175.28,1393.0,0.22
2024-07-24,29,1185.66,1406.1,0.22
2024-07-25,50,1793.1,2112.6,0.33
2024-07-26,46,2520.84,2982.0,0.47
2024-07-27,52,2551.63,2990.6,0.48
2024-07-28,53,2427.51,2875.0,0.45
2024-07-29,41,1867.09,2195.6,0.35
2024-07-31,30,1147.0,1352.8,0.21
2024-08-01,56,2287.33,2713.69,0.43
2024-08-02,54,2497.34,2960.4,0.46
2024-08-03,47,2873.16,3380.1,0.53
2024-08-04,67,3052.4,3570.8,0.57
2024-08-05,48,2089.37,2469.1,0.39
2024-08-29,59,2172.99,2547.0,0.4
2024-08-30,56,2590.38,3060.1,0.48
2024-08-31,61,2620.39,3083.25,0.49
2024-09-01,69,3612.51,4248.28,0.67
2024-09-02,54,2533.58,2982.9,0.47
2024-09-03,1,36.46,38.8,0.01
2024-09-04,52,2455.87,2887.5,0.46
2024-09-05,26,1030.93,1217.0,0.19
2024-09-06,55,2977.34,3503.4,0.55
2024-09-07,50,2367.92,2799.3,0.44
2024-09-08,76,3813.53,4417.1,0.71
2024-09-09,32,1275.6,1488.1,0.24
2024-09-11,36,1435.03,1695.5,0.27
2024-09-12,32,2071.84,2460.5,0.39
2024-09-13,51,2688.62,3178.4,0.5
2024-09-14,52,2531.97,2978.8,0.47
2024-09-15,46,2259.19,2630.29,0.42
2024-09-16,32,1307.06,1542.8,0.24
2024-09-18,38,1391.96,1640.5,0.26
2024-09-19,30,1275.04,1494.3,0.24
2024-09-20,53,2239.86,2638.6,0.42
2024-09-21,48,2397.69,2816.3,0.45
2024-09-22,61,3337.98,3952.5,0.62
2024-09-23,26,1274.32,1497.4,0.24
2024-09-25,34,1689.89,1989.8,0.31
2024-09-26,24,1103.38,1302.0,0.21
2024-09-27,41,2125.63,2498.8,0.4
2024-09-28,34,2171.8,2561.2,0.4
2024-09-29,59,2836.11,3319.5,0.53
2024-09-30,30,1430.07,1681.8,0.27
2024-10-02,42,1819.01,2164.6,0.34
2024-10-03,37,1843.63,2131.2,0.34
2024-10-04,51,1917.74,2252.4,0.36
2024-10-05,35,1737.39,2049.6,0.32
2024-10-06,44,1793.78,2111.3,0.33
2024-10-07,31,1395.68,1637.8,0.26
2024-10-09,20,718.03,847.9,0.13
2024-10-10,34,1229.94,1441.6,0.23
2024-10-11,43,1869.48,2189.7,0.35
2024-10-12,32,1666.35,1954.9,0.31
2024-10-13,48,2678.61,3164.7,0.5
2024-10-14,20,693.59,810.0,0.13
2024-10-16,33,1430.25,1686.8,0.27
2024-10-17,29,1390.9,1627.0,0.26
2024-10-18,51,2442.01,2893.29,0.45
2024-10-19,43,2395.2,2837.9,0.45
2024-10-20,53,2685.06,3159.6,0.5
2024-10-21,42,1916.1,2264.2,0.36
2024-10-23,36,1299.41,1535.4,0.24
2024-10-24,32,1306.39,1527.4,0.24
2024-10-25,48,2177.8,2558.5,0.41
2024-10-26,47,2613.98,3090.1,0.49
2024-10-27,47,2134.43,2503.4,0.4
2024-10-28,18,731.0,857.3,0.14
2024-10-30,43,2030.06,2400.0,0.38
2024-10-31,42,2273.81,2683.49,0.42
2024-11-01,44,2174.76,2565.6,0.4
2024-11-02,36,1992.84,2355.1,0.37
2024-11-03,54,2603.3,3062.5,0.48
2024-11-04,28,1436.22,1685.4,0.27
2024-11-06,34,1247.28,1447.5,0.23
2024-11-07,25,1002.25,1185.1,0.19
2024-11-08,55,2244.07,2637.4,0.42
2024-11-09,42,2331.78,2736.8,0.43
2024-11-10,53,2315.98,2693.3,0.43
2024-11-11,35,1696.13,1988.2,0.32
2024-11-13,25,955.37,1123.9,0.18
2024-11-14,17,670.32,791.5,0.12
2024-11-15,56,2332.44,2736.0,0.43
2024-11-16,39,2060.36,2425.1,0.38
2024-11-17,33,1613.7,1883.2,0.3
2024-11-18,24,954.46,1115.2,0.18
2024-11-20,23,963.35,1142.7,0.18
2024-11-21,23,736.3,876.2,0.14
2024-11-22,41,2265.63,2696.1,0.42
2024-11-23,37,1932.23,2280.0,0.36
2024-11-24,47,2001.79,2323.4,0.37
2024-11-25,29,943.13,1110.4,0.18
2024-11-27,22,760.51,891.1,0.14
2024-11-28,23,1065.97,1234.0,0.2
2024-11-29,40,1873.97,2202.4,0.35
2024-11-30,45,3512.78,4147.8,0.65
2024-12-01,50,2287.81,2678.7,0.43
2024-12-02,13,489.2,571.5,0.09
2024-12-04,23,1022.81,1194.4,0.19
2024-12-05,30,1299.68,1534.1,0.24
2024-12-06,45,2302.34,2691.3,0.43
2024-12-07,36,2247.4,2632.7,0.42
2024-12-08,44,2517.4,2959.3,0.47
2024-12-09,19,1258.72,1476.6,0.23
2024-12-11,23,920.09,1081.2,0.17
2024-12-12,48,1286.47,1517.9,0.24
2024-12-13,39,1631.26,1912.3,0.3
2024-12-14,37,1807.01,2103.3,0.34
2024-12-15,43,2071.24,2433.3,0.39
2024-12-16,32,1268.56,1497.9,0.24
2024-12-18,23,1050.07,1226.3,0.2
2024-12-19,32,1524.89,1764.6,0.28
2024-12-20,34,1663.8,1952.8,0.31
2024-12-21,29,1153.69,1346.7,0.21
2024-12-22,40,1988.55,2331.5,0.37
2024-12-23,25,1573.98,1847.0,0.29
2024-12-25,34,2833.28,3356.6,0.53
2024-12-26,47,3557.6,4180.6,0.66
2024-12-27,20,1217.6,1433.6,0.23
2024-12-28,41,2392.19,2821.7,0.45
2024-12-29,31,1909.68,2229.6,0.36
2024-12-30,42,2032.64,2386.0,0.38
2024-12-31,23,1840.25,2163.1,0.34
2025-01-01,13,723.38,844.3,0.13
